Data1,,,Data2,,,Data3,,,Data4,,,Data5,
Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) 
10.90399176,0,,,,,,,,,,,,
11.00311912,0,,,,,,,,,,,,
11.09843389,0,,,,,,,,,,,,
11.15943534,0,,,,,,,,,,,,
11.22806198,0,,,,,,,,,,,,
11.3005012,0,,,,,,,,,,,,
11.36912784,0,,,,,,,,,,,,
11.47206779,0,,,,,,,,,,,,
11.56356997,0,,,,,,,,,,,,
11.62075883,0,,,,,,,,,,,,
11.72369878,0,,,,,,,,,,,,
11.82282614,0,,,,,,,,,,,,
11.90670314,0,,,,,,,,,,,,
12.02489346,0,,,,,,,,,,,,
12.09733268,0,,,,,,,,,,,,
12.15833413,0,,,,,,,,,,,,
12.25746149,0,,,,,,,,,,,,
12.36802663,0,,,,,,,,,,,,
12.48240435,0,,,,,,,,,,,,
12.57771912,0,,,,,,,,,,,,
12.66159612,0,,,,,,,,,,,,
12.7530983,0,,,,,,,,,,,,
12.84078789,0,,,,,,,,,,,,
12.9208523,0,,,,,,,,,,,,
13.01997966,0,,,,,,,,,,,,
13.08860629,0,,,,,,,,,,,,
13.19535883,0,,,,,,,,,,,,
13.27923583,0,,,,,,,,,,,,
13.35930024,0,,,,,,,,,,,,
13.42030169,0,,,,,,,,,,,,
13.49655351,0,,,,,,,,,,,,
13.59186828,0,,,,,,,,,,,,
13.66049491,0,,,,,,,,,,,,
13.76343486,0,,,,,,,,,,,,
13.82062373,0,,,,,,,,,,,,
13.89306295,0,,,,,,,,,,,,
13.97693995,0,,,,,,,,,,,,
14.03412881,0,,,,,,,,,,,,
14.11800581,0,,,,,,,,,,,,
14.22857094,0,,,,,,,,,,,,
14.32388571,0,,,,,,,,,,,,
14.39632494,0,,,,,,,,,,,,
14.47257675,0,,,,,,,,,,,,
14.5793293,0,,,,,,,,,,,,
14.68608184,0,,,,,,,,,,,,
14.76995884,0,,,,,,,,,,,,
14.83096029,0,,,,,,,,,,,,
14.91864988,0,,,,,,,,,,,,
15.01777724,0,,,,,,,,,,,,
15.08640388,0,,,,,,,,,,,,
15.14740533,0,,,,,,,,,,,,
15.22365714,0,,,,,,,,,,,,
15.31897191,0,,,,,,,,,,,,
15.41428668,0,,,,,,,,,,,,
15.54772736,0,,,,,,,,,,,,
15.62397918,0,,,,,,,,,,,,
15.68498063,0,,,,,,,,,,,,
15.78410799,0,,,,,,,,,,,,
15.89848572,0,,,,,,,,,,,,
16.03955158,0,,,,,,,,,,,,
16.10817821,0,,,,,,,,,,,,
16.18824262,0,,,,,,,,,,,,
16.25686925,0,,,,,,,,,,,,
16.32549589,0,,,,,,,,,,,,
16.39030993,0,,,,,,,,,,,,
16.4856247,0,,,,,,,,,,,,
16.56568911,0,,,,,,,,,,,,
16.63050315,0,,,,,,,,,,,,
16.70294238,0,,,,,,,,,,,,
16.80588233,0,,,,,,,,,,,,
16.87832156,0,,,,,,,,,,,,
16.95838596,0,,,,,,,,,,,,
17.0270126,0,,,,,,,,,,,,
17.09945182,0,,,,,,,,,,,,
